record_id,record_date
1,2024-06-07
2,2024-01-21
3,2024-03-11
4,2024-11-05
5,2025-05-06
6,2025-04-17
7,2024-04-20
8,2025-02-11
9,2024-08-11
10,2023-05-27
11,2024-09-10
12,2024-12-24
13,2025-03-28
14,2024-03-01
15,2023-10-13
16,2023-06-20
17,2024-07-18
18,2024-03-07
19,2025-03-10
20,2023-09-06
21,2024-01-10
22,2023-07-13
23,2025-04-30
24,2024-10-08
25,2024-12-11
26,2025-02-16
27,2025-03-02
28,2024-03-21
29,2025-01-05
30,2024-05-04
31,2025-05-11
32,2024-07-15
33,2025-02-10
34,2024-11-26
35,2023-06-27
36,2025-03-22
37,2024-05-26
38,2023-06-05
39,2024-09-05
40,2024-02-11
41,2023-09-08
42,2025-03-02
43,2024-12-08
44,2024-08-16
45,2023-06-22
46,2023-07-06
47,2024-12-22
48,2024-07-27
49,2024-01-24
50,2024-02-22
51,2024-01-24
52,2024-09-19
53,2024-03-31
54,2024-04-03
55,2023-07-05
56,2024-11-01
57,2024-09-14
58,2024-03-05
59,2023-08-01
60,2025-01-13
61,2024-06-20
62,2023-10-07
63,2023-12-09
64,2023-11-28
65,2024-04-07
66,2023-08-25
67,2025-04-05
68,2024-07-07
69,2024-07-08
70,2024-05-02
71,2025-02-14
72,2024-03-26
73,2024-02-29
74,2024-05-03
75,2024-02-28
76,2024-12-01
77,2023-09-08
78,2023-05-23
79,2024-09-27
80,2024-05-20
81,2023-07-17
82,2024-08-30
83,2025-04-11
84,2023-09-22
85,2024-11-08
86,2024-11-11
87,2024-06-27
88,2024-09-11
89,2024-05-28
90,2023-07-02
91,2024-11-21
92,2025-05-17
93,2024-04-15
94,2024-09-04
95,2024-07-09
96,2024-09-16
97,2023-05-28
98,2023-12-05
99,2025-02-24
100,2024-01-22
101,2025-03-01
102,2023-09-10
103,2024-04-06
104,2025-04-25
105,2024-11-26
106,2023-11-22
107,2024-07-23
108,2023-08-03
109,2024-08-14
110,2023-06-14
111,2025-03-05
112,2024-10-05
113,2023-09-17
114,2025-04-23
115,2025-04-28
116,2023-11-28
117,2023-08-25
118,2025-04-19
119,2024-04-29
120,2025-01-01
121,2024-09-01
122,2023-12-30
123,2023-07-27
124,2023-11-13
125,2024-05-22
126,2025-04-14
127,2024-08-07
128,2025-02-28
129,2025-04-03
130,2023-11-11
131,2024-06-03
132,2024-10-16
133,2023-11-05
134,2023-08-12
135,2024-02-21
136,2023-11-27
137,2024-07-27
138,2024-10-23
139,2024-03-21
140,2024-10-02
141,2024-09-14
142,2023-11-26
143,2025-02-06
144,2024-07-22
145,2023-07-26
146,2025-02-28
147,2024-12-19
148,2023-09-28
149,2023-10-24
150,2024-06-02
151,2024-05-27
152,2024-11-21
153,2024-08-22
