subscription_id,subscription_type,date_of_beginning,date_of_ending,price
1,базовая,2024-11-16,2025-03-19,500
2,стандарт,2024-07-23,2024-09-10,700
3,премиум,2023-12-11,2023-12-13,1200
4,премиум,2023-11-06,2023-12-16,1200
5,премиум,2023-07-14,2024-01-10,1200
6,премиум,2025-04-11,2026-04-02,1200
7,студенческая,2025-05-02,2025-05-18,450
8,студенческая,2025-02-15,2025-03-16,450
9,премиум,2023-10-20,2024-03-23,1200
10,стандарт,2025-03-20,2025-07-24,700
11,стандарт,2025-02-11,2025-07-30,700
12,стандарт,2024-09-07,2025-02-28,700
13,семейная,2024-02-02,2024-08-11,900
14,семейная,2023-10-09,2023-11-11,900
15,стандарт,2024-10-09,2024-12-27,700
16,семейная,2025-03-15,2026-02-12,900
17,премиум,2024-02-26,2024-04-12,1200
18,студенческая,2024-02-27,2024-03-14,450
19,семейная,2024-05-08,2024-06-02,900
20,стандарт,2024-02-15,2024-07-03,700
21,базовая,2024-11-25,2024-12-16,500
22,стандарт,2023-10-27,2024-09-05,700
23,студенческая,2023-07-15,2024-01-15,450
24,базовая,2025-02-28,2025-06-13,500
25,семейная,2024-01-15,2024-02-13,900
26,премиум,2024-10-03,2024-11-07,1200
27,базовая,2023-12-30,2024-01-20,500
28,базовая,2024-05-04,2024-08-13,500
29,премиум,2023-06-17,2023-12-18,1200
30,премиум,2024-08-29,2024-09-06,1200
31,базовая,2023-08-13,2024-03-11,500
32,семейная,2024-09-11,2024-09-25,900
33,семейная,2024-09-08,2024-09-25,900
34,семейная,2024-12-22,2025-04-24,900
35,премиум,2023-08-02,2023-08-08,1200
36,семейная,2024-09-11,2024-09-19,900
37,стандарт,2024-10-06,2025-03-24,700
38,студенческая,2023-10-31,2024-02-26,450
39,базовая,2025-02-15,2025-03-28,500
40,базовая,2024-12-11,2025-02-28,500
41,базовая,2024-05-24,2025-02-19,500
42,стандарт,2023-10-10,2024-01-27,700
43,базовая,2025-04-03,2025-08-10,500
44,премиум,2024-06-10,2024-10-08,1200
45,премиум,2025-04-25,2025-12-29,1200
46,студенческая,2024-08-29,2025-02-03,450
47,студенческая,2024-07-06,2024-07-22,450
48,стандарт,2024-07-15,2025-07-04,700
49,базовая,2024-02-18,2024-03-02,500
50,премиум,2023-07-10,2023-08-08,1200
51,стандарт,2024-03-05,2024-04-02,700
52,семейная,2023-12-02,2023-12-27,900
53,стандарт,2024-06-30,2024-12-06,700
54,семейная,2024-03-28,2024-04-15,900
55,стандарт,2024-11-06,2024-11-29,700
56,базовая,2024-01-09,2024-09-10,500
57,базовая,2025-02-07,2025-06-06,500
58,семейная,2023-08-20,2023-11-04,900
59,базовая,2023-08-07,2023-08-29,500
60,базовая,2024-09-16,2024-10-17,500
61,студенческая,2024-01-10,2025-01-09,450
62,семейная,2023-12-08,2024-02-13,900
63,стандарт,2023-08-03,2023-08-21,700
64,стандарт,2024-01-04,2024-01-19,700
65,студенческая,2024-05-30,2024-06-13,450
66,премиум,2023-10-20,2023-11-12,1200
67,стандарт,2024-05-31,2024-06-10,700
68,премиум,2023-08-23,2024-07-22,1200
69,семейная,2024-02-19,2024-03-18,900
70,семейная,2024-07-12,2024-07-21,900
71,семейная,2024-11-19,2025-02-01,900
72,премиум,2024-11-20,2025-03-13,1200
73,студенческая,2024-01-10,2024-01-30,450
74,премиум,2024-08-24,2024-12-15,1200
75,студенческая,2024-06-15,2024-07-04,450
76,студенческая,2024-01-03,2024-01-15,450
77,стандарт,2023-07-18,2024-01-06,700
78,семейная,2025-05-18,2025-09-30,900
79,стандарт,2024-08-30,2024-09-09,700
80,семейная,2023-10-23,2024-02-16,900
81,семейная,2023-07-09,2023-07-23,900
82,премиум,2023-10-04,2023-12-22,1200
83,базовая,2025-04-10,2025-08-20,500
84,стандарт,2023-09-30,2023-11-27,700
85,стандарт,2025-03-29,2025-09-19,700
86,студенческая,2024-05-07,2024-05-21,450
87,студенческая,2024-12-06,2025-02-16,450
88,семейная,2024-01-31,2024-02-16,900
89,семейная,2024-10-21,2024-11-15,900
90,семейная,2023-11-06,2023-12-16,900
91,семейная,2023-10-29,2024-01-27,900
92,базовая,2023-12-19,2024-11-06,500
93,базовая,2024-04-20,2024-10-21,500
94,стандарт,2024-01-04,2024-01-18,700
95,стандарт,2025-04-16,2025-05-16,700
96,студенческая,2024-07-11,2024-08-09,450
97,базовая,2025-02-09,2025-03-06,500
98,семейная,2023-12-07,2024-04-13,900
99,студенческая,2024-10-16,2024-10-21,450
100,семейная,2023-12-20,2024-04-15,900
101,стандарт,2025-01-26,2025-03-07,700
102,семейная,2025-03-16,2025-03-23,900
103,семейная,2025-03-05,2025-04-03,900
104,премиум,2023-06-26,2023-12-24,1200
105,базовая,2023-09-22,2023-12-22,500
106,стандарт,2025-02-26,2025-06-08,700
107,студенческая,2023-07-03,2023-07-20,450
108,базовая,2023-11-19,2024-09-05,500
109,премиум,2023-10-12,2023-11-22,1200
110,семейная,2023-11-13,2024-05-04,900
111,стандарт,2025-04-24,2025-07-08,700
112,стандарт,2024-04-04,2024-08-06,700
113,семейная,2023-06-18,2024-05-17,900
114,стандарт,2024-02-10,2025-01-12,700
115,базовая,2024-07-14,2024-08-03,500
116,базовая,2024-01-26,2024-11-10,500
117,стандарт,2024-05-16,2024-12-22,700
118,стандарт,2024-06-27,2025-05-10,700
119,премиум,2024-09-05,2024-09-28,1200
120,студенческая,2023-12-21,2024-01-10,450
121,премиум,2024-04-08,2024-09-26,1200
122,базовая,2025-01-04,2025-01-31,500
123,базовая,2024-07-15,2024-11-10,500
124,базовая,2024-08-23,2024-09-21,500
125,стандарт,2024-09-06,2024-11-10,700
126,премиум,2024-10-21,2024-12-25,1200
127,семейная,2023-09-22,2024-01-04,900
128,стандарт,2023-11-25,2024-02-28,700
129,базовая,2024-11-24,2025-02-10,500
130,семейная,2023-10-10,2024-05-31,900
131,премиум,2023-06-11,2024-03-19,1200
132,премиум,2024-05-11,2024-05-14,1200
133,семейная,2024-12-04,2025-05-23,900
134,премиум,2024-08-16,2024-10-02,1200
135,студенческая,2024-06-21,2024-08-08,450
136,семейная,2024-06-02,2024-06-23,900
137,семейная,2024-11-14,2024-11-30,900
138,студенческая,2024-04-07,2024-04-15,450
139,стандарт,2023-06-02,2023-08-15,700
140,премиум,2023-06-26,2023-11-26,1200
141,стандарт,2024-02-19,2024-05-30,700
142,премиум,2024-10-14,2025-01-25,1200
143,базовая,2024-01-18,2024-03-31,500
144,премиум,2023-11-06,2023-12-07,1200
145,премиум,2024-04-08,2024-04-15,1200
146,студенческая,2025-01-31,2025-11-28,450
147,стандарт,2023-07-11,2023-12-15,700
148,семейная,2024-02-16,2024-06-28,900
149,семейная,2025-04-01,2025-04-04,900
150,стандарт,2024-01-12,2024-04-06,700
151,студенческая,2023-07-20,2023-08-04,450
152,семейная,2024-01-09,2024-01-11,900
153,базовая,2023-07-08,2024-03-12,500
154,студенческая,2024-11-24,2024-12-04,450
155,студенческая,2023-05-20,2023-06-14,450
156,студенческая,2024-03-06,2024-03-20,450
157,премиум,2025-02-03,2025-02-19,1200
158,семейная,2024-03-22,2024-08-27,900
159,премиум,2024-05-18,2024-12-11,1200
160,студенческая,2024-11-18,2025-03-05,450
161,студенческая,2025-05-02,2025-06-27,450
162,премиум,2023-06-30,2024-05-15,1200
163,базовая,2024-01-08,2024-01-20,500
164,стандарт,2023-10-18,2023-11-16,700
165,семейная,2025-01-23,2025-05-28,900
166,премиум,2023-08-02,2024-06-06,1200
167,стандарт,2025-04-17,2025-04-27,700
168,семейная,2023-12-12,2024-03-04,900
169,семейная,2023-12-04,2023-12-08,900
170,базовая,2024-02-23,2024-11-13,500
171,базовая,2025-03-27,2025-03-30,500
172,студенческая,2024-07-28,2024-08-04,450
173,стандарт,2024-12-29,2025-01-18,700
174,семейная,2024-06-13,2024-06-14,900
175,студенческая,2024-08-07,2025-01-26,450
176,семейная,2023-10-08,2023-10-19,900
177,стандарт,2023-09-22,2024-03-11,700
178,студенческая,2023-08-21,2023-09-20,450
179,стандарт,2024-09-05,2025-04-26,700
180,стандарт,2025-04-28,2025-10-09,700
181,стандарт,2023-09-09,2023-09-27,700
182,студенческая,2024-10-19,2025-01-31,450
183,премиум,2023-12-25,2024-04-13,1200
184,базовая,2024-01-10,2024-05-31,500
185,стандарт,2024-05-22,2024-09-08,700
186,премиум,2025-05-14,2025-05-27,1200
187,семейная,2023-12-14,2024-02-19,900
188,премиум,2024-06-20,2024-06-25,1200
189,семейная,2023-06-12,2023-06-17,900
190,студенческая,2025-04-19,2025-05-04,450
191,студенческая,2024-07-28,2024-08-07,450
192,семейная,2023-06-15,2023-07-14,900
193,семейная,2024-06-14,2024-06-24,900
194,студенческая,2024-10-13,2025-08-06,450
195,семейная,2025-03-12,2025-06-12,900
196,премиум,2025-01-25,2025-03-15,1200
197,студенческая,2024-07-16,2024-08-06,450
198,семейная,2025-04-13,2025-04-30,900
199,премиум,2025-03-29,2025-04-15,1200
200,стандарт,2023-12-07,2024-05-06,700
201,премиум,2024-08-01,2024-08-15,1200
202,семейная,2024-08-31,2024-09-19,900
203,студенческая,2023-10-27,2023-12-19,450
204,базовая,2024-07-30,2024-08-09,500
205,премиум,2025-04-18,2025-07-25,1200
206,базовая,2025-04-05,2025-04-18,500
207,премиум,2024-10-20,2024-11-07,1200
208,базовая,2023-06-15,2023-11-29,500
209,студенческая,2023-12-25,2024-02-21,450
210,базовая,2025-01-30,2025-04-12,500
211,семейная,2024-02-19,2024-03-10,900
212,студенческая,2024-01-26,2024-02-21,450
213,семейная,2024-06-08,2024-06-11,900
214,стандарт,2024-12-22,2025-05-18,700
215,премиум,2024-09-19,2024-12-12,1200
216,стандарт,2024-12-24,2025-06-06,700
217,премиум,2024-12-10,2024-12-24,1200
218,базовая,2023-09-03,2024-01-30,500
219,стандарт,2025-02-26,2025-03-26,700
220,базовая,2024-10-03,2025-03-06,500
221,студенческая,2024-01-20,2024-02-10,450
222,базовая,2024-05-15,2024-05-31,500
223,студенческая,2025-01-04,2025-04-16,450
224,базовая,2023-07-05,2023-07-31,500
225,стандарт,2023-09-18,2023-10-02,700
226,премиум,2025-05-05,2025-05-10,1200
227,семейная,2024-12-20,2025-03-27,900
228,премиум,2024-01-06,2024-03-16,1200
229,базовая,2025-03-07,2025-09-07,500
230,базовая,2025-04-26,2025-09-01,500
231,базовая,2024-04-01,2024-11-17,500
232,семейная,2023-11-28,2023-12-01,900
233,стандарт,2023-07-09,2023-08-25,700
234,студенческая,2024-07-22,2024-08-20,450
235,семейная,2025-03-28,2025-08-31,900
236,премиум,2023-08-26,2023-09-05,1200
237,студенческая,2024-03-13,2024-03-21,450
238,базовая,2025-03-16,2025-04-05,500
239,премиум,2024-03-09,2024-04-09,1200
240,стандарт,2023-06-13,2023-12-11,700
241,премиум,2024-03-02,2024-07-26,1200
242,семейная,2023-05-20,2023-10-26,900
243,студенческая,2024-09-28,2025-03-20,450
244,премиум,2024-04-14,2024-05-13,1200
245,премиум,2024-04-01,2024-05-15,1200
246,студенческая,2024-09-24,2024-11-27,450
247,студенческая,2024-03-20,2024-04-05,450
248,семейная,2024-11-12,2024-11-28,900
249,базовая,2023-09-24,2024-02-12,500
250,базовая,2025-05-16,2025-05-19,500
251,студенческая,2023-11-25,2024-05-08,450
252,премиум,2023-06-06,2024-05-22,1200
253,базовая,2025-04-25,2025-05-20,500
254,базовая,2023-08-12,2023-08-26,500
255,семейная,2023-11-13,2023-12-28,900
256,базовая,2024-04-07,2024-05-06,500
257,базовая,2024-07-05,2025-05-01,500
258,студенческая,2023-10-29,2023-11-30,450
259,семейная,2023-06-17,2023-06-25,900
260,студенческая,2024-03-12,2024-03-15,450
